# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1832.063
     2000  -1813.834
     3000  -1859.279
     4000  -1834.676
     5000  -1764.461
     6000  -1789.786
     7000  -1825.041
     8000  -1775.159
     9000  -1727.695
    10000  -1732.140
    11000  -1793.319
    12000  -1803.594
    13000  -1757.182
    14000  -1756.640
    15000  -1768.983
    16000  -1769.972
    17000  -1798.795
    18000  -1756.025
    19000  -1745.662
    20000  -1745.268
    21000  -1698.751
    22000  -1758.312
    23000  -1731.719
    24000  -1768.997
    25000  -1756.207
    26000  -1742.137
    27000  -1686.487
    28000  -1757.432
    29000  -1744.845
    30000  -1766.424
    31000  -1760.909
    32000  -1737.590
    33000  -1744.956
    34000  -1771.211
    35000  -1788.603
    36000  -1781.008
    37000  -1797.852
    38000  -1790.490
    39000  -1788.692
    40000  -1801.174
    41000  -1738.569
    42000  -1754.028
    43000  -1796.275
    44000  -1776.408
    45000  -1737.231
    46000  -1763.825
    47000  -1744.978
    48000  -1687.825
    49000  -1750.213
    50000  -1753.236
    51000  -1753.093
    52000  -1775.446
    53000  -1779.155
    54000  -1786.540
    55000  -1787.223
    56000  -1740.795
    57000  -1774.409
    58000  -1736.602
    59000  -1721.660
    60000  -1729.403
    61000  -1688.432
    62000  -1685.300
    63000  -1669.925
    64000  -1669.832
    65000  -1737.724
    66000  -1701.625
    67000  -1757.383
    68000  -1753.445
    69000  -1833.112
    70000  -1798.917
    71000  -1813.540
    72000  -1808.095
    73000  -1773.677
    74000  -1810.434
    75000  -1853.577
    76000  -1836.339
    77000  -1836.232
    78000  -1848.218
    79000  -1873.244
    80000  -1807.546
    81000  -1815.344
    82000  -1854.275
    83000  -1870.314
    84000  -1867.365
    85000  -1835.551
    86000  -1764.509
    87000  -1753.969
    88000  -1775.247
    89000  -1731.362
    90000  -1780.592
    91000  -1781.389
    92000  -1756.394
    93000  -1687.653
    94000  -1773.410
    95000  -1766.328
    96000  -1760.874
    97000  -1734.817
    98000  -1775.049
    99000  -1772.060
   100000  -1794.963
   101000  -1769.999
   102000  -1862.547
   103000  -1878.123
   104000  -1834.020
   105000  -1833.469
   106000  -1810.823
   107000  -1769.588
   108000  -1778.753
   109000  -1773.625
   110000  -1754.968
   111000  -1806.548
   112000  -1808.754
   113000  -1784.575
   114000  -1809.046
   115000  -1807.424
   116000  -1776.458
   117000  -1728.951
   118000  -1773.854
   119000  -1770.626
   120000  -1753.862
   121000  -1782.365
   122000  -1711.401
   123000  -1795.946
   124000  -1749.287
   125000  -1772.631
   126000  -1745.146
   127000  -1804.074
   128000  -1719.913
   129000  -1764.370
   130000  -1749.455
   131000  -1769.280
   132000  -1801.373
   133000  -1812.038
   134000  -1813.615
   135000  -1844.353
   136000  -1814.243
   137000  -1810.658
   138000  -1798.741
   139000  -1740.276
   140000  -1757.838
   141000  -1795.834
   142000  -1790.973
   143000  -1766.268
   144000  -1789.680
   145000  -1788.317
   146000  -1734.523
   147000  -1729.889
   148000  -1747.916
   149000  -1779.993
   150000  -1758.953
   151000  -1765.832
   152000  -1794.384
   153000  -1760.722
   154000  -1742.532
   155000  -1801.417
   156000  -1777.637
   157000  -1776.932
   158000  -1781.476
   159000  -1756.831
   160000  -1798.163
   161000  -1785.463
   162000  -1724.546
   163000  -1769.073
   164000  -1813.271
   165000  -1813.238
   166000  -1784.991
   167000  -1818.430
   168000  -1827.965
   169000  -1907.365
   170000  -1863.792
   171000  -1829.995
   172000  -1804.089
   173000  -1846.670
   174000  -1834.729
   175000  -1841.558
   176000  -1830.050
   177000  -1802.445
   178000  -1782.169
   179000  -1798.246
   180000  -1742.157
   181000  -1711.480
   182000  -1747.974
   183000  -1735.550
   184000  -1745.053
   185000  -1634.132
   186000  -1760.700
   187000  -1695.686
   188000  -1740.341
   189000  -1711.414
   190000  -1709.421
   191000  -1711.362
   192000  -1745.082
   193000  -1763.874
   194000  -1752.749
   195000  -1709.556
   196000  -1767.346
   197000  -1762.833
   198000  -1720.238
   199000  -1694.835
   200000  -1725.812
   201000  -1712.096
   202000  -1735.533
   203000  -1767.023
   204000  -1778.478
   205000  -1724.088
   206000  -1768.367
   207000  -1728.418
   208000  -1732.837
   209000  -1698.820
   210000  -1718.582
   211000  -1729.189
   212000  -1712.700
   213000  -1718.620
   214000  -1738.340
   215000  -1785.886
   216000  -1792.310
   217000  -1751.590
