# System: 40CH3OH-CG
#    Step   Total energy, kJ/mol
        0   -676.978
     1000   -788.603
     2000   -878.136
     3000   -877.886
     4000   -944.686
     5000   -976.863
     6000   -921.387
     7000   -874.042
     8000   -901.330
     9000   -891.038
    10000   -873.084
    11000   -926.730
    12000   -927.362
    13000   -906.401
    14000   -929.889
    15000   -964.397
    16000   -964.425
    17000   -901.255
    18000   -849.635
    19000   -916.919
    20000   -871.567
    21000   -924.262
    22000   -943.769
    23000   -960.110
    24000   -939.282
    25000   -909.828
    26000   -933.269
    27000   -919.808
    28000   -904.223
    29000   -920.998
    30000   -911.896
    31000   -889.497
    32000   -894.233
    33000   -925.688
    34000   -889.774
    35000   -875.908
    36000   -910.078
    37000   -923.396
    38000   -907.062
    39000   -888.379
    40000   -871.140
    41000   -877.092
    42000   -871.284
    43000   -834.587
    44000   -883.655
    45000   -946.383
    46000   -898.225
    47000   -887.139
    48000   -917.692
    49000   -951.893
    50000   -926.914
    51000   -886.253
    52000   -840.137
    53000   -913.848
    54000   -877.848
    55000   -900.531
    56000   -882.083
    57000   -884.664
    58000   -883.144
    59000   -889.437
    60000   -894.858
    61000   -902.778
    62000   -928.141
    63000   -976.330
    64000   -911.902
    65000   -947.125
    66000   -992.347
    67000   -935.556
    68000   -921.597
    69000   -910.344
    70000   -971.296
    71000   -901.324
    72000   -901.364
    73000   -917.254
    74000   -917.720
    75000   -845.261
    76000   -856.823
    77000   -869.416
    78000   -893.595
    79000   -915.035
    80000   -884.275
    81000   -899.525
    82000   -901.545
    83000   -883.294
    84000   -940.775
    85000   -921.443
    86000   -930.987
    87000   -926.897
    88000   -993.862
    89000   -944.220
    90000  -1010.750
    91000  -1012.205
    92000  -1023.218
    93000  -1029.460
    94000  -1005.463
    95000   -972.237
    96000  -1002.232
    97000   -985.235
    98000   -988.428
    99000   -914.478
   100000   -916.465
   101000   -938.719
   102000  -1006.859
   103000  -1039.400
   104000   -989.121
   105000   -943.086
   106000   -911.352
   107000   -937.360
   108000   -972.477
   109000   -967.036
   110000   -969.336
   111000   -926.796
   112000  -1031.150
   113000  -1004.893
   114000  -1001.400
   115000   -950.483
   116000   -967.190
   117000   -987.492
   118000   -937.575
   119000   -952.362
   120000   -931.602
   121000   -899.399
   122000   -964.246
   123000   -948.556
   124000   -966.911
   125000   -904.166
   126000   -945.085
   127000   -928.261
   128000   -915.770
   129000   -892.980
   130000   -916.743
   131000   -925.886
   132000   -946.540
   133000   -909.620
   134000   -943.595
   135000   -963.057
   136000   -951.338
   137000   -990.999
   138000   -978.419
   139000   -967.287
   140000   -891.288
   141000   -869.223
   142000   -897.389
   143000   -871.677
   144000   -919.743
   145000   -924.607
   146000   -885.219
   147000   -859.397
   148000   -891.309
   149000   -874.058
   150000   -930.599
   151000   -913.516
   152000   -903.669
   153000   -962.216
   154000   -970.320
   155000   -875.670
   156000   -871.172
   157000   -894.740
   158000   -923.259
   159000   -866.145
   160000   -881.545
   161000   -858.267
   162000   -906.572
   163000   -939.263
   164000   -975.368
   165000   -946.970
   166000   -930.098
   167000   -869.917
   168000   -927.160
   169000   -942.812
   170000   -939.709
   171000   -954.922
   172000   -894.559
   173000   -881.785
   174000   -912.857
   175000   -862.167
   176000   -906.238
   177000   -931.744
   178000   -891.002
   179000   -899.975
   180000   -920.267
   181000   -901.612
   182000   -872.277
   183000   -901.221
   184000   -856.503
   185000   -893.569
   186000   -918.034
   187000   -895.623
   188000   -882.186
   189000   -908.651
   190000   -900.285
   191000   -920.884
   192000   -908.957
   193000   -924.665
   194000   -959.865
   195000  -1014.500
   196000   -999.810
   197000   -954.119
   198000   -948.388
   199000   -892.943
   200000   -866.148
   201000   -918.798
   202000   -906.328
   203000   -892.033
   204000   -905.522
   205000   -924.939
   206000   -943.428
   207000   -973.843
   208000   -944.611
   209000   -938.059
   210000   -909.559
   211000   -928.708
   212000   -933.705
   213000  -1006.100
   214000  -1021.064
   215000   -932.246
   216000   -965.690
   217000   -961.783
   218000   -926.220
   219000   -878.949
   220000   -939.090
   221000   -935.936
   222000   -936.770
   223000   -944.086
   224000   -901.378
   225000   -953.494
   226000   -949.879
   227000   -965.596
   228000   -933.114
   229000  -1008.201
   230000  -1006.927
   231000   -927.996
   232000   -960.270
   233000   -934.282
   234000  -1008.486
   235000   -923.813
   236000   -982.865
   237000   -996.426
   238000  -1009.161
   239000   -989.397
   240000   -955.404
   241000   -977.636
   242000   -975.998
   243000   -983.464
   244000   -971.722
   245000  -1004.030
   246000  -1002.226
   247000   -958.966
   248000   -985.994
   249000   -957.107
   250000   -948.018
   251000   -941.005
   252000   -927.738
   253000   -936.564
   254000   -976.595
   255000   -908.300
   256000   -915.265
   257000   -985.712
   258000   -954.083
   259000   -921.197
   260000   -928.085
   261000   -930.420
   262000   -938.137
   263000   -892.162
   264000   -929.298
   265000   -932.282
   266000   -940.947
   267000   -933.109
   268000   -898.306
   269000   -883.179
   270000   -897.628
   271000   -931.662
   272000   -936.077
   273000   -892.931
   274000   -873.904
   275000   -839.441
   276000   -892.957
   277000   -902.912
   278000   -935.817
   279000   -917.295
   280000   -860.486
   281000   -930.655
   282000   -934.876
   283000   -947.432
   284000   -942.887
   285000   -938.651
   286000   -840.556
   287000   -885.157
   288000   -924.169
   289000   -881.359
   290000   -875.678
   291000   -904.318
   292000   -849.440
   293000   -923.766
   294000   -897.051
   295000   -907.008
   296000   -930.929
   297000   -955.308
   298000   -932.824
   299000   -921.866
   300000   -897.068
