# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1760.552
     2000  -1796.394
     3000  -1791.606
     4000  -1764.841
     5000  -1766.222
     6000  -1786.528
     7000  -1799.012
     8000  -1809.681
     9000  -1765.763
    10000  -1712.932
    11000  -1721.012
    12000  -1778.707
    13000  -1845.741
    14000  -1817.129
    15000  -1787.531
    16000  -1812.557
    17000  -1812.620
    18000  -1789.490
    19000  -1730.713
    20000  -1776.531
    21000  -1760.877
    22000  -1764.397
    23000  -1731.486
    24000  -1748.804
    25000  -1722.342
    26000  -1695.490
    27000  -1750.491
    28000  -1773.656
    29000  -1776.888
    30000  -1774.606
    31000  -1753.148
    32000  -1776.704
    33000  -1780.449
    34000  -1784.620
    35000  -1724.985
    36000  -1722.518
    37000  -1750.452
    38000  -1712.314
    39000  -1739.163
    40000  -1790.979
    41000  -1786.851
    42000  -1732.673
    43000  -1780.518
    44000  -1710.787
    45000  -1738.871
    46000  -1695.397
    47000  -1736.713
    48000  -1779.513
    49000  -1731.075
    50000  -1815.631
    51000  -1804.608
    52000  -1858.299
    53000  -1796.078
    54000  -1778.011
    55000  -1763.393
    56000  -1744.917
    57000  -1728.649
    58000  -1764.762
    59000  -1781.095
    60000  -1759.388
    61000  -1736.735
    62000  -1732.522
    63000  -1761.301
    64000  -1723.777
    65000  -1782.733
    66000  -1775.838
    67000  -1770.442
    68000  -1777.142
    69000  -1727.422
    70000  -1712.251
    71000  -1686.795
    72000  -1636.497
    73000  -1703.339
    74000  -1703.379
    75000  -1741.838
    76000  -1735.276
    77000  -1657.735
    78000  -1685.259
    79000  -1723.096
    80000  -1762.750
    81000  -1789.928
    82000  -1792.479
    83000  -1824.562
    84000  -1808.399
    85000  -1789.865
    86000  -1760.215
    87000  -1747.125
    88000  -1827.273
    89000  -1774.382
    90000  -1784.336
    91000  -1824.780
    92000  -1772.746
    93000  -1751.200
    94000  -1832.381
    95000  -1811.561
    96000  -1803.284
    97000  -1736.076
    98000  -1777.666
    99000  -1732.821
   100000  -1793.380
   101000  -1760.412
   102000  -1736.421
   103000  -1732.301
   104000  -1730.544
   105000  -1704.116
   106000  -1739.741
   107000  -1754.459
   108000  -1759.128
   109000  -1726.136
   110000  -1745.922
   111000  -1754.778
   112000  -1735.125
   113000  -1714.495
   114000  -1659.801
   115000  -1708.381
   116000  -1680.849
   117000  -1718.370
   118000  -1750.011
   119000  -1804.624
   120000  -1822.901
   121000  -1801.676
   122000  -1840.532
   123000  -1895.375
   124000  -1805.139
   125000  -1784.233
   126000  -1816.569
   127000  -1796.734
   128000  -1811.357
   129000  -1853.126
   130000  -1851.598
   131000  -1860.156
   132000  -1859.751
   133000  -1885.493
   134000  -1842.395
   135000  -1807.774
   136000  -1749.404
   137000  -1743.234
   138000  -1712.706
   139000  -1713.045
   140000  -1733.071
   141000  -1763.156
   142000  -1732.986
   143000  -1710.536
   144000  -1678.972
   145000  -1714.569
   146000  -1717.218
   147000  -1742.383
   148000  -1760.329
   149000  -1750.198
   150000  -1701.439
   151000  -1739.420
   152000  -1737.452
   153000  -1734.681
   154000  -1737.495
   155000  -1759.894
   156000  -1795.106
   157000  -1756.952
   158000  -1734.925
   159000  -1776.561
   160000  -1749.335
   161000  -1781.212
   162000  -1762.419
   163000  -1802.535
   164000  -1753.943
   165000  -1788.341
   166000  -1779.087
   167000  -1742.497
   168000  -1828.459
   169000  -1770.528
   170000  -1825.225
   171000  -1814.255
   172000  -1778.190
   173000  -1773.089
   174000  -1842.301
   175000  -1783.854
   176000  -1767.209
   177000  -1732.259
   178000  -1737.374
   179000  -1720.456
   180000  -1783.958
   181000  -1790.486
   182000  -1753.649
   183000  -1791.536
   184000  -1776.898
   185000  -1809.117
   186000  -1842.973
   187000  -1761.930
   188000  -1799.037
   189000  -1759.776
   190000  -1793.007
   191000  -1804.750
   192000  -1804.946
   193000  -1759.311
   194000  -1704.189
   195000  -1757.681
   196000  -1814.908
   197000  -1815.466
   198000  -1756.699
   199000  -1789.119
   200000  -1746.434
   201000  -1687.926
   202000  -1697.523
   203000  -1724.137
   204000  -1720.846
   205000  -1765.861
   206000  -1723.461
   207000  -1728.542
   208000  -1792.576
   209000  -1792.656
   210000  -1777.615
   211000  -1788.770
   212000  -1803.940
   213000  -1802.475
   214000  -1765.128
   215000  -1748.043
   216000  -1755.393
   217000  -1793.207
   218000  -1790.447
   219000  -1768.706
   220000  -1752.977
   221000  -1801.728
   222000  -1788.727
   223000  -1764.180
   224000  -1815.128
   225000  -1792.307
   226000  -1759.402
   227000  -1844.821
   228000  -1780.230
   229000  -1780.158
   230000  -1806.945
   231000  -1713.799
   232000  -1720.664
   233000  -1773.680
   234000  -1825.910
   235000  -1802.531
   236000  -1737.752
   237000  -1727.551
   238000  -1804.912
   239000  -1803.342
   240000  -1801.215
   241000  -1694.694
   242000  -1721.297
   243000  -1735.273
   244000  -1743.308
   245000  -1640.958
   246000  -1674.492
   247000  -1732.353
   248000  -1755.197
   249000  -1735.180
   250000  -1771.865
   251000  -1798.043
   252000  -1772.966
   253000  -1812.197
   254000  -1759.965
   255000  -1754.705
   256000  -1733.403
   257000  -1745.512
   258000  -1720.962
   259000  -1717.083
   260000  -1762.761
   261000  -1743.353
   262000  -1742.585
   263000  -1759.953
   264000  -1800.153
   265000  -1786.577
   266000  -1760.215
   267000  -1799.156
   268000  -1814.793
   269000  -1803.657
   270000  -1815.851
   271000  -1773.691
   272000  -1749.755
   273000  -1754.211
   274000  -1737.795
   275000  -1747.100
   276000  -1766.719
   277000  -1715.543
   278000  -1763.886
   279000  -1745.547
   280000  -1672.367
   281000  -1749.911
   282000  -1683.777
   283000  -1757.432
   284000  -1745.995
   285000  -1785.561
   286000  -1821.260
   287000  -1816.135
   288000  -1783.793
   289000  -1768.992
   290000  -1749.363
   291000  -1744.045
   292000  -1744.216
   293000  -1734.372
   294000  -1794.925
   295000  -1786.575
   296000  -1803.157
   297000  -1818.138
   298000  -1804.203
   299000  -1768.264
   300000  -1774.259
