# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1786.313
     2000  -1792.880
     3000  -1778.081
     4000  -1766.904
     5000  -1879.100
     6000  -1869.583
     7000  -1850.774
     8000  -1815.062
     9000  -1771.593
    10000  -1780.707
    11000  -1741.846
    12000  -1787.927
    13000  -1770.174
    14000  -1755.042
    15000  -1733.746
    16000  -1759.614
    17000  -1766.167
    18000  -1740.984
    19000  -1738.121
    20000  -1799.475
    21000  -1834.629
    22000  -1799.873
    23000  -1793.013
    24000  -1768.162
    25000  -1788.080
    26000  -1770.152
    27000  -1785.175
    28000  -1829.838
    29000  -1816.394
    30000  -1805.390
    31000  -1814.083
    32000  -1784.395
    33000  -1808.124
    34000  -1815.944
    35000  -1790.015
    36000  -1783.889
    37000  -1804.395
    38000  -1781.176
    39000  -1791.021
    40000  -1717.696
    41000  -1765.135
    42000  -1748.976
    43000  -1737.595
    44000  -1796.765
    45000  -1687.835
    46000  -1729.789
    47000  -1732.690
    48000  -1743.466
    49000  -1769.115
    50000  -1806.346
    51000  -1770.931
    52000  -1756.228
    53000  -1750.966
    54000  -1750.029
    55000  -1765.502
    56000  -1753.735
    57000  -1821.393
    58000  -1739.836
    59000  -1842.135
    60000  -1813.793
    61000  -1785.887
    62000  -1735.144
    63000  -1751.314
    64000  -1823.102
    65000  -1817.671
    66000  -1789.707
    67000  -1777.766
    68000  -1694.410
    69000  -1775.393
    70000  -1742.170
    71000  -1759.354
    72000  -1744.984
    73000  -1774.784
    74000  -1801.862
    75000  -1823.763
    76000  -1788.929
    77000  -1829.657
    78000  -1793.614
    79000  -1801.000
    80000  -1835.983
    81000  -1800.514
    82000  -1800.457
    83000  -1760.525
    84000  -1775.292
    85000  -1791.718
    86000  -1785.493
    87000  -1720.418
    88000  -1725.242
    89000  -1736.353
    90000  -1750.027
    91000  -1741.882
    92000  -1759.381
    93000  -1724.163
    94000  -1732.084
    95000  -1686.522
    96000  -1739.949
    97000  -1726.390
    98000  -1774.328
    99000  -1751.019
   100000  -1722.681
   101000  -1739.563
   102000  -1773.075
   103000  -1772.642
   104000  -1721.096
   105000  -1797.795
   106000  -1734.939
   107000  -1833.877
   108000  -1749.346
   109000  -1817.912
   110000  -1822.932
   111000  -1836.797
   112000  -1784.448
   113000  -1837.364
   114000  -1849.828
   115000  -1775.051
   116000  -1793.900
   117000  -1766.185
   118000  -1792.849
   119000  -1695.492
   120000  -1709.279
   121000  -1738.013
   122000  -1804.467
   123000  -1812.951
   124000  -1800.514
   125000  -1780.977
   126000  -1709.772
   127000  -1732.270
   128000  -1770.375
   129000  -1785.405
   130000  -1828.176
   131000  -1826.932
   132000  -1834.980
   133000  -1734.698
   134000  -1736.750
   135000  -1810.821
   136000  -1790.951
   137000  -1770.822
   138000  -1734.965
   139000  -1761.442
   140000  -1781.975
   141000  -1731.401
   142000  -1725.652
   143000  -1715.508
   144000  -1714.593
   145000  -1679.119
   146000  -1701.386
   147000  -1689.834
   148000  -1714.276
   149000  -1707.782
   150000  -1709.536
   151000  -1694.101
   152000  -1658.862
   153000  -1665.127
   154000  -1683.773
   155000  -1717.847
   156000  -1743.525
   157000  -1721.216
   158000  -1767.064
