# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1734.431
     2000  -1778.586
     3000  -1798.689
     4000  -1816.910
     5000  -1847.460
     6000  -1805.827
     7000  -1773.540
     8000  -1814.433
     9000  -1814.147
    10000  -1866.905
    11000  -1852.325
    12000  -1835.701
    13000  -1871.492
    14000  -1811.454
    15000  -1777.680
    16000  -1750.934
    17000  -1741.765
    18000  -1796.852
    19000  -1800.219
    20000  -1787.782
    21000  -1822.786
    22000  -1839.744
    23000  -1867.013
    24000  -1775.335
    25000  -1805.583
    26000  -1801.757
    27000  -1838.842
    28000  -1780.312
    29000  -1819.567
    30000  -1775.317
    31000  -1775.561
    32000  -1846.868
    33000  -1788.294
    34000  -1732.533
    35000  -1791.986
    36000  -1719.591
    37000  -1683.458
    38000  -1777.894
    39000  -1730.953
    40000  -1673.671
    41000  -1690.121
    42000  -1697.084
    43000  -1708.848
    44000  -1754.227
    45000  -1703.842
    46000  -1660.747
    47000  -1641.603
    48000  -1696.889
    49000  -1654.750
    50000  -1709.534
    51000  -1676.737
    52000  -1712.053
    53000  -1721.131
    54000  -1765.549
    55000  -1710.760
    56000  -1801.618
    57000  -1756.532
    58000  -1792.877
    59000  -1778.089
    60000  -1747.407
    61000  -1693.749
    62000  -1738.298
    63000  -1767.307
    64000  -1720.555
    65000  -1747.369
    66000  -1727.480
    67000  -1703.936
    68000  -1776.613
    69000  -1790.670
    70000  -1788.087
    71000  -1819.388
    72000  -1802.033
    73000  -1695.293
    74000  -1783.532
    75000  -1816.490
    76000  -1787.869
    77000  -1753.839
    78000  -1701.977
    79000  -1769.677
    80000  -1753.708
    81000  -1768.840
    82000  -1803.542
    83000  -1814.375
    84000  -1821.835
    85000  -1777.787
    86000  -1815.625
    87000  -1881.905
    88000  -1841.703
    89000  -1831.782
    90000  -1819.366
    91000  -1818.441
    92000  -1732.093
    93000  -1715.413
    94000  -1679.982
    95000  -1676.356
    96000  -1652.446
    97000  -1710.170
    98000  -1742.110
    99000  -1758.076
   100000  -1746.472
   101000  -1778.412
   102000  -1751.482
   103000  -1791.579
   104000  -1779.275
   105000  -1693.519
   106000  -1772.620
   107000  -1770.986
   108000  -1789.382
   109000  -1751.276
   110000  -1749.610
   111000  -1767.135
   112000  -1797.799
   113000  -1815.326
   114000  -1811.951
   115000  -1792.653
   116000  -1750.711
   117000  -1804.709
   118000  -1784.829
   119000  -1809.872
   120000  -1833.264
   121000  -1826.340
   122000  -1828.282
   123000  -1846.525
   124000  -1808.212
   125000  -1795.593
   126000  -1757.213
   127000  -1724.426
   128000  -1787.142
   129000  -1776.076
   130000  -1740.378
   131000  -1747.772
   132000  -1740.327
   133000  -1705.630
   134000  -1763.097
   135000  -1738.021
   136000  -1752.132
   137000  -1739.086
   138000  -1755.087
   139000  -1769.977
   140000  -1781.301
   141000  -1765.453
   142000  -1780.060
   143000  -1792.153
   144000  -1789.440
   145000  -1704.502
   146000  -1743.138
   147000  -1748.656
   148000  -1739.447
   149000  -1768.398
   150000  -1728.286
   151000  -1740.634
   152000  -1717.074
   153000  -1694.385
   154000  -1655.473
   155000  -1699.137
   156000  -1670.346
   157000  -1682.338
   158000  -1668.894
   159000  -1696.039
   160000  -1700.833
   161000  -1705.801
   162000  -1671.152
   163000  -1688.819
   164000  -1788.644
   165000  -1802.721
   166000  -1770.459
   167000  -1736.162
   168000  -1713.382
   169000  -1742.839
   170000  -1758.982
   171000  -1720.457
   172000  -1786.556
   173000  -1796.154
   174000  -1781.904
   175000  -1771.364
   176000  -1766.522
   177000  -1711.422
   178000  -1749.232
   179000  -1744.142
   180000  -1712.031
   181000  -1692.864
   182000  -1670.037
   183000  -1637.200
   184000  -1703.901
   185000  -1724.774
   186000  -1723.137
   187000  -1668.744
   188000  -1718.071
   189000  -1739.335
   190000  -1718.937
   191000  -1726.781
   192000  -1771.188
   193000  -1833.890
   194000  -1887.558
   195000  -1824.079
   196000  -1803.018
   197000  -1764.185
   198000  -1773.021
   199000  -1747.323
   200000  -1777.320
   201000  -1704.451
   202000  -1831.181
   203000  -1776.678
   204000  -1786.284
   205000  -1787.936
   206000  -1759.655
   207000  -1794.912
   208000  -1787.545
   209000  -1801.518
   210000  -1819.077
   211000  -1854.880
   212000  -1828.788
   213000  -1768.821
   214000  -1696.878
   215000  -1732.859
   216000  -1655.314
   217000  -1744.598
   218000  -1689.797
   219000  -1686.947
   220000  -1689.571
   221000  -1715.546
   222000  -1734.427
   223000  -1764.103
   224000  -1758.682
   225000  -1715.208
   226000  -1741.107
   227000  -1776.302
   228000  -1793.483
   229000  -1747.124
   230000  -1749.519
   231000  -1769.717
   232000  -1768.116
   233000  -1797.403
   234000  -1819.801
   235000  -1776.995
   236000  -1715.639
   237000  -1819.397
   238000  -1826.087
   239000  -1820.208
   240000  -1805.813
   241000  -1797.064
   242000  -1750.167
   243000  -1767.913
   244000  -1837.908
   245000  -1870.282
   246000  -1781.958
   247000  -1808.996
   248000  -1808.362
   249000  -1781.562
   250000  -1724.579
   251000  -1720.984
   252000  -1647.686
   253000  -1674.810
   254000  -1699.785
   255000  -1733.267
   256000  -1770.517
   257000  -1761.179
   258000  -1715.716
   259000  -1741.026
   260000  -1753.677
   261000  -1757.716
   262000  -1754.511
   263000  -1764.921
   264000  -1754.385
   265000  -1737.555
   266000  -1742.628
   267000  -1765.899
   268000  -1780.779
   269000  -1774.382
   270000  -1770.386
   271000  -1717.577
   272000  -1803.315
   273000  -1794.982
   274000  -1714.513
   275000  -1787.221
   276000  -1784.876
   277000  -1700.372
   278000  -1705.940
   279000  -1729.533
   280000  -1809.075
   281000  -1781.234
   282000  -1797.829
   283000  -1754.688
   284000  -1723.243
   285000  -1772.555
   286000  -1766.900
   287000  -1729.021
   288000  -1699.547
   289000  -1715.217
   290000  -1782.313
   291000  -1751.569
   292000  -1796.247
   293000  -1772.738
   294000  -1737.708
   295000  -1812.353
   296000  -1799.586
   297000  -1743.894
   298000  -1733.242
   299000  -1758.669
   300000  -1791.154
   301000  -1786.751
   302000  -1719.732
   303000  -1754.639
   304000  -1767.125
   305000  -1810.447
   306000  -1828.373
   307000  -1794.404
   308000  -1787.784
   309000  -1851.615
   310000  -1790.986
   311000  -1726.675
   312000  -1725.085
   313000  -1795.375
   314000  -1831.497
   315000  -1854.713
   316000  -1799.548
   317000  -1732.358
   318000  -1725.793
   319000  -1719.652
   320000  -1810.170
   321000  -1820.099
   322000  -1740.620
   323000  -1746.425
   324000  -1749.093
   325000  -1685.377
   326000  -1725.495
   327000  -1747.216
   328000  -1758.586
   329000  -1739.934
   330000  -1750.190
   331000  -1725.465
   332000  -1706.711
   333000  -1640.098
   334000  -1630.163
   335000  -1662.966
   336000  -1701.756
   337000  -1690.225
   338000  -1687.897
   339000  -1650.962
   340000  -1651.032
   341000  -1672.764
   342000  -1754.455
   343000  -1768.967
   344000  -1779.554
   345000  -1733.597
   346000  -1710.170
   347000  -1744.801
   348000  -1715.777
   349000  -1752.742
   350000  -1756.936
   351000  -1772.112
   352000  -1745.622
   353000  -1759.397
   354000  -1674.218
   355000  -1653.859
   356000  -1691.284
   357000  -1741.578
   358000  -1750.698
   359000  -1774.028
   360000  -1765.257
   361000  -1726.115
   362000  -1803.827
   363000  -1769.665
   364000  -1707.823
   365000  -1745.526
   366000  -1727.946
   367000  -1724.894
   368000  -1741.111
