# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1757.905
     2000  -1762.129
     3000  -1840.658
     4000  -1833.257
     5000  -1855.576
     6000  -1786.972
     7000  -1778.869
     8000  -1763.590
     9000  -1779.966
    10000  -1722.548
    11000  -1757.702
    12000  -1731.653
    13000  -1787.389
    14000  -1826.992
    15000  -1802.274
    16000  -1796.592
    17000  -1724.834
    18000  -1787.157
    19000  -1758.756
    20000  -1749.193
    21000  -1845.220
    22000  -1881.760
    23000  -1842.389
    24000  -1830.740
    25000  -1831.397
    26000  -1824.345
    27000  -1805.172
    28000  -1779.875
    29000  -1771.818
    30000  -1833.610
    31000  -1782.243
    32000  -1796.815
    33000  -1800.300
    34000  -1769.026
    35000  -1766.298
    36000  -1725.420
    37000  -1703.554
    38000  -1747.307
    39000  -1759.911
    40000  -1760.253
    41000  -1764.933
    42000  -1744.755
    43000  -1756.331
    44000  -1758.564
    45000  -1773.011
    46000  -1734.777
    47000  -1694.506
    48000  -1726.479
    49000  -1722.938
    50000  -1752.873
    51000  -1731.803
    52000  -1756.738
    53000  -1706.672
    54000  -1711.970
    55000  -1683.549
    56000  -1726.035
    57000  -1756.462
    58000  -1796.090
    59000  -1747.693
    60000  -1794.975
    61000  -1797.364
    62000  -1737.350
    63000  -1763.499
    64000  -1756.886
    65000  -1779.070
    66000  -1798.459
    67000  -1816.086
    68000  -1803.933
    69000  -1807.888
    70000  -1836.962
    71000  -1803.338
    72000  -1795.126
    73000  -1807.272
    74000  -1785.916
    75000  -1731.407
    76000  -1759.731
    77000  -1715.430
    78000  -1764.754
    79000  -1756.988
    80000  -1744.228
    81000  -1712.722
    82000  -1690.639
    83000  -1718.015
    84000  -1718.438
    85000  -1719.588
    86000  -1791.659
    87000  -1781.173
    88000  -1769.731
    89000  -1826.102
    90000  -1786.763
    91000  -1760.482
    92000  -1718.339
    93000  -1738.618
    94000  -1753.525
    95000  -1744.269
    96000  -1760.434
    97000  -1654.462
    98000  -1712.320
    99000  -1679.705
   100000  -1703.347
   101000  -1681.243
   102000  -1683.500
   103000  -1649.830
   104000  -1700.917
   105000  -1772.004
   106000  -1757.545
   107000  -1769.949
   108000  -1768.106
   109000  -1718.490
   110000  -1779.651
   111000  -1737.094
   112000  -1815.590
   113000  -1761.252
   114000  -1726.180
   115000  -1748.776
   116000  -1726.417
   117000  -1658.216
   118000  -1671.221
   119000  -1677.924
   120000  -1692.008
   121000  -1728.599
   122000  -1726.763
   123000  -1779.408
   124000  -1755.848
   125000  -1758.054
   126000  -1753.691
   127000  -1698.428
   128000  -1764.791
   129000  -1775.683
   130000  -1742.154
   131000  -1775.563
   132000  -1809.682
   133000  -1836.659
   134000  -1818.009
   135000  -1765.636
   136000  -1759.424
   137000  -1814.425
   138000  -1835.179
   139000  -1785.877
   140000  -1829.167
   141000  -1820.944
   142000  -1846.570
   143000  -1802.214
   144000  -1797.377
   145000  -1753.107
   146000  -1755.530
   147000  -1791.993
   148000  -1789.473
   149000  -1786.974
   150000  -1807.006
   151000  -1888.510
   152000  -1812.664
   153000  -1832.405
   154000  -1795.834
   155000  -1856.269
   156000  -1835.623
   157000  -1787.636
   158000  -1770.466
   159000  -1772.543
   160000  -1764.663
   161000  -1801.647
   162000  -1752.775
   163000  -1743.145
   164000  -1740.115
   165000  -1748.817
   166000  -1757.988
   167000  -1779.639
   168000  -1769.948
   169000  -1737.173
   170000  -1730.318
   171000  -1851.211
   172000  -1829.028
   173000  -1822.216
   174000  -1858.349
   175000  -1849.593
   176000  -1808.321
   177000  -1831.610
   178000  -1813.427
   179000  -1798.756
   180000  -1839.404
   181000  -1845.404
   182000  -1822.804
   183000  -1801.232
   184000  -1803.991
   185000  -1775.296
   186000  -1811.104
   187000  -1724.282
   188000  -1707.103
   189000  -1746.968
   190000  -1731.498
   191000  -1734.477
   192000  -1747.521
   193000  -1756.207
   194000  -1747.165
   195000  -1721.702
   196000  -1728.517
   197000  -1813.039
   198000  -1828.584
   199000  -1788.718
   200000  -1806.584
   201000  -1815.529
   202000  -1827.603
   203000  -1805.320
   204000  -1798.708
   205000  -1815.591
   206000  -1833.718
   207000  -1819.867
   208000  -1824.586
   209000  -1847.867
   210000  -1834.370
   211000  -1754.034
   212000  -1760.775
   213000  -1751.627
   214000  -1756.166
   215000  -1804.270
   216000  -1830.358
   217000  -1764.060
   218000  -1794.796
   219000  -1741.204
   220000  -1749.425
   221000  -1722.459
   222000  -1751.300
   223000  -1766.102
   224000  -1752.234
   225000  -1712.327
   226000  -1756.318
   227000  -1781.451
   228000  -1787.359
   229000  -1724.143
   230000  -1739.102
   231000  -1791.696
   232000  -1808.390
   233000  -1805.514
   234000  -1778.416
   235000  -1787.331
   236000  -1782.965
   237000  -1744.844
   238000  -1748.766
   239000  -1792.073
   240000  -1795.366
   241000  -1720.874
   242000  -1786.056
   243000  -1774.667
   244000  -1816.574
   245000  -1771.005
   246000  -1761.988
   247000  -1754.924
   248000  -1693.631
   249000  -1702.169
   250000  -1673.983
   251000  -1740.034
   252000  -1781.460
   253000  -1758.875
   254000  -1696.087
   255000  -1781.047
   256000  -1736.090
   257000  -1720.402
   258000  -1722.386
   259000  -1745.216
   260000  -1721.542
   261000  -1760.775
   262000  -1757.241
   263000  -1800.984
   264000  -1730.524
   265000  -1762.300
   266000  -1744.239
   267000  -1749.176
   268000  -1758.151
   269000  -1749.797
   270000  -1786.233
   271000  -1734.793
   272000  -1776.096
   273000  -1772.579
   274000  -1716.766
   275000  -1753.446
   276000  -1727.876
   277000  -1771.148
   278000  -1712.236
   279000  -1787.583
   280000  -1776.383
   281000  -1720.887
   282000  -1755.961
   283000  -1749.829
   284000  -1743.327
   285000  -1757.434
   286000  -1765.689
   287000  -1693.851
   288000  -1676.840
   289000  -1670.794
   290000  -1671.986
   291000  -1690.587
   292000  -1664.835
   293000  -1744.969
   294000  -1756.069
   295000  -1765.766
   296000  -1724.749
   297000  -1774.584
   298000  -1792.038
   299000  -1756.604
   300000  -1716.833
   301000  -1726.106
   302000  -1762.695
   303000  -1770.788
   304000  -1762.129
   305000  -1780.770
   306000  -1856.752
   307000  -1773.362
   308000  -1827.877
   309000  -1833.035
   310000  -1763.578
   311000  -1770.141
   312000  -1706.617
   313000  -1739.416
   314000  -1790.682
   315000  -1792.344
   316000  -1739.481
   317000  -1801.178
   318000  -1888.451
   319000  -1905.782
   320000  -1859.051
   321000  -1858.888
   322000  -1879.009
   323000  -1817.346
   324000  -1812.500
   325000  -1815.472
   326000  -1814.142
   327000  -1752.140
   328000  -1710.043
   329000  -1703.425
   330000  -1699.186
   331000  -1802.096
   332000  -1843.759
   333000  -1762.091
   334000  -1738.752
   335000  -1730.279
   336000  -1835.760
   337000  -1776.838
   338000  -1763.249
   339000  -1783.641
   340000  -1772.426
   341000  -1803.279
   342000  -1824.769
   343000  -1842.533
   344000  -1780.723
   345000  -1778.249
   346000  -1831.815
   347000  -1856.690
   348000  -1833.503
   349000  -1827.104
   350000  -1849.225
   351000  -1851.528
   352000  -1792.789
   353000  -1812.857
   354000  -1820.777
   355000  -1784.907
   356000  -1751.126
   357000  -1750.208
   358000  -1771.390
   359000  -1800.247
   360000  -1760.968
   361000  -1810.809
   362000  -1783.449
   363000  -1798.704
   364000  -1734.049
   365000  -1764.869
   366000  -1746.534
   367000  -1727.696
   368000  -1790.373
   369000  -1752.074
   370000  -1704.768
   371000  -1666.540
   372000  -1765.886
   373000  -1827.353
   374000  -1801.033
   375000  -1810.810
   376000  -1817.041
   377000  -1820.191
   378000  -1831.449
   379000  -1819.054
   380000  -1779.949
   381000  -1789.246
   382000  -1715.747
   383000  -1704.498
   384000  -1723.027
   385000  -1701.109
   386000  -1699.276
   387000  -1731.436
   388000  -1745.444
   389000  -1800.463
   390000  -1782.988
   391000  -1865.374
   392000  -1859.469
   393000  -1858.077
   394000  -1867.425
   395000  -1800.466
   396000  -1785.650
   397000  -1820.622
   398000  -1808.978
   399000  -1793.314
   400000  -1801.653
   401000  -1823.388
   402000  -1839.730
   403000  -1858.565
   404000  -1799.842
   405000  -1761.745
   406000  -1746.073
   407000  -1781.298
   408000  -1784.961
   409000  -1749.452
   410000  -1758.954
   411000  -1734.207
   412000  -1675.756
   413000  -1775.108
   414000  -1750.415
   415000  -1782.080
   416000  -1737.597
