# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1776.100
     2000  -1804.729
     3000  -1815.686
     4000  -1821.930
     5000  -1789.582
     6000  -1779.878
     7000  -1769.838
     8000  -1774.070
     9000  -1788.476
    10000  -1749.967
    11000  -1756.834
    12000  -1757.255
    13000  -1742.745
    14000  -1766.129
    15000  -1778.292
    16000  -1780.565
    17000  -1770.197
    18000  -1757.467
    19000  -1753.041
    20000  -1758.853
    21000  -1756.890
    22000  -1753.188
    23000  -1765.180
    24000  -1753.442
    25000  -1749.249
    26000  -1732.503
    27000  -1770.317
    28000  -1769.565
    29000  -1791.060
    30000  -1803.170
    31000  -1783.175
    32000  -1770.853
    33000  -1767.109
    34000  -1755.261
    35000  -1778.964
    36000  -1759.725
    37000  -1746.371
    38000  -1782.502
    39000  -1758.031
    40000  -1774.108
    41000  -1747.399
    42000  -1757.956
    43000  -1759.645
    44000  -1792.685
    45000  -1789.710
    46000  -1773.792
    47000  -1772.687
    48000  -1735.971
    49000  -1771.258
    50000  -1793.925
    51000  -1782.896
    52000  -1792.320
    53000  -1790.697
    54000  -1795.469
    55000  -1802.277
    56000  -1784.323
    57000  -1784.201
    58000  -1770.476
    59000  -1749.765
    60000  -1768.184
    61000  -1766.815
    62000  -1770.797
    63000  -1755.689
    64000  -1753.625
    65000  -1768.654
    66000  -1754.432
    67000  -1772.607
    68000  -1740.389
    69000  -1760.571
    70000  -1759.545
    71000  -1774.969
    72000  -1756.563
    73000  -1762.802
    74000  -1771.500
    75000  -1786.681
    76000  -1780.944
    77000  -1755.405
    78000  -1749.996
    79000  -1762.653
    80000  -1721.051
    81000  -1731.322
    82000  -1745.152
    83000  -1720.676
    84000  -1732.983
    85000  -1748.001
    86000  -1777.632
    87000  -1787.624
    88000  -1797.517
    89000  -1789.296
    90000  -1772.836
    91000  -1776.551
    92000  -1753.652
    93000  -1736.009
    94000  -1738.631
    95000  -1749.791
    96000  -1754.677
    97000  -1771.226
    98000  -1736.125
    99000  -1729.657
   100000  -1727.952
   101000  -1730.744
   102000  -1722.638
   103000  -1756.852
   104000  -1763.686
   105000  -1763.890
   106000  -1744.174
   107000  -1742.742
   108000  -1769.207
   109000  -1757.121
   110000  -1775.590
   111000  -1790.716
   112000  -1785.766
   113000  -1782.926
   114000  -1760.810
   115000  -1787.177
   116000  -1782.969
   117000  -1807.919
   118000  -1778.050
   119000  -1758.965
   120000  -1775.599
   121000  -1764.586
   122000  -1752.522
   123000  -1760.127
   124000  -1762.915
   125000  -1748.742
   126000  -1766.475
   127000  -1753.535
   128000  -1725.330
   129000  -1729.223
   130000  -1734.215
   131000  -1752.967
   132000  -1781.200
   133000  -1789.929
   134000  -1784.799
   135000  -1777.269
   136000  -1808.574
   137000  -1780.658
   138000  -1755.498
   139000  -1766.525
   140000  -1786.058
   141000  -1773.890
   142000  -1762.811
   143000  -1761.413
   144000  -1776.444
   145000  -1778.410
   146000  -1768.000
   147000  -1800.892
   148000  -1781.097
   149000  -1742.308
   150000  -1780.457
   151000  -1802.009
   152000  -1810.417
   153000  -1767.840
   154000  -1782.281
   155000  -1793.620
   156000  -1810.139
   157000  -1810.465
   158000  -1806.602
   159000  -1817.930
   160000  -1784.402
   161000  -1761.222
   162000  -1776.785
   163000  -1766.169
   164000  -1782.296
   165000  -1785.966
   166000  -1795.212
   167000  -1764.887
   168000  -1782.995
   169000  -1747.243
   170000  -1740.714
   171000  -1777.917
   172000  -1765.431
   173000  -1768.842
   174000  -1772.236
   175000  -1759.312
   176000  -1785.394
   177000  -1779.240
   178000  -1780.690
   179000  -1763.463
   180000  -1753.017
   181000  -1751.114
   182000  -1745.866
   183000  -1717.932
   184000  -1742.633
   185000  -1758.227
   186000  -1768.517
   187000  -1758.611
   188000  -1799.456
   189000  -1763.406
   190000  -1795.009
   191000  -1795.588
   192000  -1785.754
   193000  -1768.997
   194000  -1774.153
   195000  -1790.799
   196000  -1784.452
   197000  -1791.412
   198000  -1788.455
   199000  -1817.760
   200000  -1788.570
   201000  -1757.530
   202000  -1760.126
   203000  -1769.889
   204000  -1773.639
   205000  -1767.592
   206000  -1790.241
   207000  -1786.239
