# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1783.287
     2000  -1822.301
     3000  -1796.609
     4000  -1823.106
     5000  -1830.933
     6000  -1826.513
     7000  -1806.559
     8000  -1834.628
     9000  -1819.259
    10000  -1808.857
    11000  -1806.611
    12000  -1792.682
    13000  -1796.919
    14000  -1804.679
    15000  -1812.641
    16000  -1791.131
    17000  -1760.702
    18000  -1744.847
    19000  -1768.262
    20000  -1774.850
    21000  -1775.461
    22000  -1767.891
    23000  -1766.336
    24000  -1786.703
    25000  -1780.052
    26000  -1792.427
    27000  -1753.177
    28000  -1743.005
    29000  -1746.093
    30000  -1753.257
    31000  -1779.896
    32000  -1773.390
    33000  -1761.479
    34000  -1753.834
    35000  -1759.600
    36000  -1752.222
    37000  -1762.253
    38000  -1755.243
    39000  -1746.154
    40000  -1754.714
    41000  -1743.530
    42000  -1768.246
    43000  -1765.609
    44000  -1742.437
    45000  -1758.932
    46000  -1764.125
    47000  -1783.105
    48000  -1774.944
    49000  -1770.027
    50000  -1747.186
    51000  -1724.482
    52000  -1746.083
    53000  -1757.966
    54000  -1757.944
    55000  -1761.339
    56000  -1742.797
    57000  -1748.972
    58000  -1750.242
    59000  -1720.505
    60000  -1757.208
    61000  -1755.087
    62000  -1740.995
    63000  -1739.997
    64000  -1753.573
    65000  -1737.951
    66000  -1753.195
    67000  -1749.086
    68000  -1746.058
    69000  -1739.401
    70000  -1746.652
    71000  -1780.340
    72000  -1781.298
    73000  -1787.149
    74000  -1785.207
    75000  -1782.308
    76000  -1789.101
    77000  -1798.284
    78000  -1785.795
    79000  -1799.183
    80000  -1765.655
    81000  -1806.945
    82000  -1809.738
    83000  -1790.726
    84000  -1783.477
    85000  -1798.663
    86000  -1790.229
    87000  -1799.381
    88000  -1792.199
    89000  -1790.650
    90000  -1779.910
    91000  -1767.739
    92000  -1738.889
    93000  -1735.345
    94000  -1730.360
    95000  -1711.887
    96000  -1720.901
    97000  -1735.275
    98000  -1753.049
    99000  -1757.728
   100000  -1748.090
   101000  -1750.782
   102000  -1779.685
   103000  -1763.701
   104000  -1761.049
   105000  -1741.960
   106000  -1720.127
   107000  -1739.781
   108000  -1777.620
   109000  -1745.637
   110000  -1756.537
   111000  -1802.439
   112000  -1794.516
   113000  -1795.760
   114000  -1759.341
   115000  -1761.320
   116000  -1756.065
   117000  -1768.263
   118000  -1758.529
   119000  -1782.033
   120000  -1769.418
   121000  -1767.888
   122000  -1752.331
   123000  -1770.598
   124000  -1764.422
   125000  -1770.166
   126000  -1776.194
   127000  -1764.207
   128000  -1770.316
   129000  -1739.614
   130000  -1751.757
   131000  -1738.407
   132000  -1764.798
   133000  -1765.601
   134000  -1767.895
   135000  -1767.572
   136000  -1757.607
   137000  -1755.272
   138000  -1754.504
   139000  -1785.800
   140000  -1772.918
   141000  -1747.434
   142000  -1722.285
   143000  -1726.545
   144000  -1740.246
   145000  -1764.689
   146000  -1775.697
   147000  -1774.811
   148000  -1760.584
   149000  -1770.030
   150000  -1779.874
   151000  -1768.582
   152000  -1761.117
   153000  -1768.709
   154000  -1731.489
   155000  -1719.498
   156000  -1741.758
   157000  -1754.179
   158000  -1717.728
   159000  -1723.386
   160000  -1721.797
   161000  -1727.154
   162000  -1752.706
   163000  -1719.121
   164000  -1742.104
   165000  -1745.808
   166000  -1738.195
   167000  -1753.091
   168000  -1732.815
   169000  -1722.839
   170000  -1721.462
   171000  -1713.539
   172000  -1763.758
   173000  -1755.392
   174000  -1756.272
   175000  -1751.323
   176000  -1773.125
   177000  -1727.831
   178000  -1707.738
   179000  -1742.644
   180000  -1736.182
   181000  -1737.305
   182000  -1746.704
   183000  -1751.842
   184000  -1769.772
   185000  -1806.107
   186000  -1786.473
   187000  -1805.863
   188000  -1797.846
   189000  -1775.420
   190000  -1768.422
   191000  -1766.083
   192000  -1793.523
   193000  -1774.796
   194000  -1777.171
   195000  -1795.455
   196000  -1765.159
   197000  -1776.826
   198000  -1776.156
   199000  -1817.869
   200000  -1756.882
