# System: 60CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1040.642
     1000  -1247.250
     2000  -1224.089
     3000  -1298.710
     4000  -1232.978
     5000  -1210.732
     6000  -1250.732
     7000  -1274.621
     8000  -1325.530
     9000  -1321.787
    10000  -1279.677
    11000  -1253.765
    12000  -1183.427
    13000  -1253.376
    14000  -1199.387
    15000  -1221.235
    16000  -1236.533
    17000  -1321.217
    18000  -1326.019
    19000  -1297.867
    20000  -1304.815
    21000  -1287.015
    22000  -1280.227
    23000  -1213.457
    24000  -1211.816
    25000  -1240.925
    26000  -1359.389
    27000  -1334.123
    28000  -1285.697
    29000  -1251.862
    30000  -1297.594
    31000  -1254.269
    32000  -1262.025
    33000  -1283.466
    34000  -1290.876
    35000  -1242.089
    36000  -1289.484
    37000  -1289.682
    38000  -1309.303
    39000  -1250.610
    40000  -1285.479
    41000  -1251.928
    42000  -1262.082
    43000  -1254.850
    44000  -1267.504
    45000  -1240.723
    46000  -1186.492
    47000  -1247.877
    48000  -1252.635
    49000  -1302.843
    50000  -1307.120
    51000  -1296.031
    52000  -1302.312
    53000  -1360.186
    54000  -1371.635
    55000  -1347.051
    56000  -1360.664
    57000  -1330.921
    58000  -1264.487
    59000  -1237.191
    60000  -1257.938
    61000  -1261.878
    62000  -1286.353
    63000  -1304.148
    64000  -1318.403
    65000  -1291.634
    66000  -1302.633
    67000  -1267.251
    68000  -1285.745
    69000  -1242.336
    70000  -1242.742
    71000  -1300.838
    72000  -1289.845
    73000  -1236.452
    74000  -1257.746
    75000  -1308.060
    76000  -1260.009
    77000  -1253.237
    78000  -1257.190
    79000  -1302.468
    80000  -1321.056
    81000  -1282.856
    82000  -1286.466
    83000  -1357.300
    84000  -1376.736
    85000  -1353.981
    86000  -1310.410
    87000  -1332.227
    88000  -1319.297
    89000  -1365.776
    90000  -1358.582
    91000  -1332.693
    92000  -1359.450
    93000  -1316.364
    94000  -1381.591
    95000  -1314.673
    96000  -1313.447
    97000  -1248.660
    98000  -1276.322
    99000  -1325.053
   100000  -1298.364
   101000  -1237.456
   102000  -1268.660
   103000  -1326.430
   104000  -1289.230
   105000  -1234.381
   106000  -1288.708
   107000  -1314.863
   108000  -1379.038
   109000  -1327.019
   110000  -1295.614
   111000  -1277.379
   112000  -1273.143
   113000  -1296.924
   114000  -1271.002
   115000  -1278.384
   116000  -1317.374
   117000  -1229.920
   118000  -1289.184
   119000  -1332.558
   120000  -1284.230
   121000  -1225.386
   122000  -1292.674
   123000  -1323.268
   124000  -1290.767
   125000  -1317.791
   126000  -1266.725
   127000  -1303.347
   128000  -1237.768
   129000  -1248.288
   130000  -1227.434
   131000  -1283.869
   132000  -1294.920
   133000  -1328.627
   134000  -1316.522
   135000  -1320.022
   136000  -1309.997
   137000  -1268.590
   138000  -1284.204
   139000  -1250.857
   140000  -1267.584
   141000  -1254.051
   142000  -1272.543
   143000  -1302.577
   144000  -1271.187
   145000  -1283.923
   146000  -1283.120
   147000  -1300.173
   148000  -1301.024
   149000  -1337.974
   150000  -1280.315
   151000  -1268.639
   152000  -1293.537
   153000  -1259.389
   154000  -1333.097
   155000  -1375.050
   156000  -1308.422
   157000  -1242.413
   158000  -1275.613
   159000  -1313.647
   160000  -1289.217
   161000  -1317.724
   162000  -1271.968
   163000  -1339.432
   164000  -1273.183
   165000  -1270.239
   166000  -1296.334
   167000  -1266.120
   168000  -1205.465
   169000  -1223.532
   170000  -1223.432
   171000  -1308.662
   172000  -1250.772
   173000  -1284.498
   174000  -1295.136
   175000  -1321.704
   176000  -1255.618
   177000  -1260.604
   178000  -1265.974
   179000  -1201.753
   180000  -1254.542
   181000  -1301.094
   182000  -1299.154
   183000  -1242.616
   184000  -1282.924
   185000  -1258.086
   186000  -1244.801
   187000  -1225.813
   188000  -1216.156
   189000  -1228.717
   190000  -1254.326
   191000  -1308.531
   192000  -1283.124
   193000  -1233.981
   194000  -1255.918
   195000  -1327.682
   196000  -1276.479
   197000  -1321.170
   198000  -1262.043
   199000  -1244.988
   200000  -1294.630
   201000  -1268.902
   202000  -1343.714
   203000  -1290.343
   204000  -1265.013
   205000  -1224.352
   206000  -1283.376
   207000  -1248.706
   208000  -1333.456
   209000  -1359.069
   210000  -1317.823
   211000  -1291.837
   212000  -1292.296
   213000  -1317.829
   214000  -1281.464
   215000  -1280.412
   216000  -1242.695
   217000  -1273.302
   218000  -1368.515
   219000  -1273.779
   220000  -1294.340
   221000  -1293.715
   222000  -1295.876
   223000  -1259.870
   224000  -1294.171
   225000  -1259.052
   226000  -1240.360
   227000  -1237.404
   228000  -1228.089
   229000  -1263.293
   230000  -1289.226
   231000  -1332.500
   232000  -1417.404
   233000  -1385.816
   234000  -1367.879
   235000  -1369.574
   236000  -1347.938
   237000  -1366.056
   238000  -1352.605
   239000  -1390.835
   240000  -1321.009
   241000  -1295.184
   242000  -1334.123
   243000  -1356.607
   244000  -1340.178
   245000  -1337.617
   246000  -1295.331
   247000  -1278.745
   248000  -1321.424
   249000  -1331.210
   250000  -1357.231
   251000  -1278.427
   252000  -1316.107
   253000  -1271.297
   254000  -1284.764
   255000  -1297.069
   256000  -1308.103
   257000  -1291.365
   258000  -1304.053
   259000  -1247.679
   260000  -1296.408
   261000  -1328.038
   262000  -1332.363
   263000  -1315.494
   264000  -1303.258
   265000  -1322.062
   266000  -1360.475
   267000  -1303.801
   268000  -1281.258
   269000  -1285.095
   270000  -1242.514
   271000  -1243.145
   272000  -1275.319
   273000  -1311.224
   274000  -1307.203
   275000  -1260.910
   276000  -1245.304
   277000  -1306.741
   278000  -1281.650
   279000  -1306.125
   280000  -1330.062
   281000  -1293.237
   282000  -1280.326
   283000  -1279.221
   284000  -1229.662
   285000  -1204.469
   286000  -1274.182
   287000  -1324.298
   288000  -1278.084
   289000  -1344.176
   290000  -1349.300
   291000  -1301.701
   292000  -1311.747
   293000  -1376.760
   294000  -1353.323
   295000  -1327.065
   296000  -1321.694
   297000  -1275.029
   298000  -1347.802
   299000  -1392.163
   300000  -1365.415
