# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1743.018
     2000  -1753.132
     3000  -1730.261
     4000  -1735.983
     5000  -1739.350
     6000  -1700.146
     7000  -1743.865
     8000  -1732.511
     9000  -1717.654
    10000  -1705.738
    11000  -1739.551
    12000  -1757.792
    13000  -1728.653
    14000  -1698.867
    15000  -1719.471
    16000  -1766.503
    17000  -1834.948
    18000  -1774.546
    19000  -1717.520
    20000  -1743.888
    21000  -1746.298
    22000  -1791.780
    23000  -1750.732
    24000  -1733.606
    25000  -1752.418
    26000  -1774.436
    27000  -1739.087
    28000  -1739.925
    29000  -1765.045
    30000  -1810.154
    31000  -1839.043
    32000  -1770.912
    33000  -1765.522
    34000  -1794.516
    35000  -1741.561
    36000  -1801.200
    37000  -1803.142
    38000  -1806.551
    39000  -1805.772
    40000  -1760.644
    41000  -1768.778
    42000  -1818.581
    43000  -1733.767
    44000  -1755.212
    45000  -1770.726
    46000  -1790.043
    47000  -1719.780
    48000  -1779.257
    49000  -1787.476
    50000  -1769.244
    51000  -1712.737
    52000  -1731.620
    53000  -1746.024
    54000  -1749.939
    55000  -1765.633
    56000  -1731.044
    57000  -1724.155
    58000  -1810.038
    59000  -1783.950
    60000  -1745.302
    61000  -1778.756
    62000  -1762.282
    63000  -1775.848
    64000  -1770.730
    65000  -1747.722
    66000  -1732.131
    67000  -1757.736
    68000  -1752.333
    69000  -1716.490
    70000  -1670.707
    71000  -1666.536
    72000  -1702.782
    73000  -1746.388
    74000  -1736.809
    75000  -1739.602
    76000  -1744.214
    77000  -1690.260
    78000  -1713.821
    79000  -1705.200
    80000  -1705.754
    81000  -1762.814
    82000  -1704.530
    83000  -1698.118
    84000  -1675.598
    85000  -1661.548
    86000  -1692.466
    87000  -1711.983
    88000  -1704.311
    89000  -1712.172
    90000  -1828.596
    91000  -1813.098
    92000  -1775.200
    93000  -1770.468
    94000  -1773.938
    95000  -1775.230
    96000  -1705.977
    97000  -1740.132
    98000  -1690.963
    99000  -1760.708
   100000  -1802.456
   101000  -1787.076
   102000  -1768.741
   103000  -1725.502
   104000  -1813.134
   105000  -1815.274
   106000  -1841.014
   107000  -1813.393
   108000  -1751.388
   109000  -1794.799
   110000  -1811.228
   111000  -1738.178
   112000  -1751.803
   113000  -1859.868
   114000  -1788.789
   115000  -1820.296
   116000  -1736.427
   117000  -1728.792
   118000  -1768.056
   119000  -1747.730
   120000  -1736.485
   121000  -1758.105
   122000  -1762.994
   123000  -1754.103
   124000  -1752.894
   125000  -1734.767
   126000  -1743.902
   127000  -1700.743
   128000  -1699.824
   129000  -1682.829
   130000  -1727.875
   131000  -1713.434
   132000  -1714.834
   133000  -1736.748
   134000  -1733.618
   135000  -1718.733
   136000  -1693.347
   137000  -1688.809
   138000  -1714.645
   139000  -1746.535
   140000  -1755.240
   141000  -1727.754
   142000  -1686.590
   143000  -1729.091
   144000  -1702.541
   145000  -1690.714
   146000  -1756.512
   147000  -1686.497
   148000  -1688.966
   149000  -1698.419
   150000  -1736.787
   151000  -1739.965
   152000  -1783.348
   153000  -1784.089
   154000  -1804.607
   155000  -1844.127
   156000  -1864.433
   157000  -1804.523
   158000  -1759.606
   159000  -1708.059
   160000  -1728.607
   161000  -1764.878
   162000  -1819.851
   163000  -1767.423
   164000  -1736.721
   165000  -1709.679
   166000  -1715.266
   167000  -1737.493
   168000  -1723.556
   169000  -1743.055
   170000  -1717.183
   171000  -1720.408
   172000  -1770.519
   173000  -1707.105
   174000  -1701.536
   175000  -1702.372
   176000  -1734.960
   177000  -1658.625
   178000  -1714.916
   179000  -1717.692
   180000  -1654.025
   181000  -1714.634
   182000  -1719.746
   183000  -1695.098
   184000  -1665.051
   185000  -1759.528
   186000  -1797.802
   187000  -1787.889
   188000  -1758.766
   189000  -1827.540
   190000  -1787.902
   191000  -1829.394
   192000  -1797.858
   193000  -1766.565
   194000  -1823.633
   195000  -1758.238
   196000  -1735.487
   197000  -1798.041
   198000  -1725.427
   199000  -1756.092
   200000  -1710.803
   201000  -1714.791
   202000  -1719.057
   203000  -1691.117
   204000  -1776.318
   205000  -1780.153
   206000  -1746.365
   207000  -1697.729
   208000  -1712.836
   209000  -1729.082
   210000  -1751.717
   211000  -1688.907
   212000  -1701.783
   213000  -1718.679
   214000  -1762.366
   215000  -1785.345
   216000  -1674.090
   217000  -1727.330
   218000  -1706.114
   219000  -1724.685
   220000  -1719.549
   221000  -1703.982
   222000  -1679.168
   223000  -1723.314
   224000  -1767.064
   225000  -1716.115
   226000  -1761.909
   227000  -1776.726
   228000  -1768.939
   229000  -1725.825
   230000  -1694.337
   231000  -1754.533
   232000  -1816.528
   233000  -1784.587
   234000  -1696.724
   235000  -1666.543
   236000  -1730.328
   237000  -1738.798
   238000  -1751.041
   239000  -1748.019
   240000  -1754.259
